Demographic_Group,Organ_System,Mean_HI,CI_2_5,CI_97_5,P_HI_greater_1,Method
Adults,skeletal_dental,1.3154158672920406,0.09848560301792478,4.48064031919744,0.4625,HBMPRA (PyMC)
Adults,hemato,0.3639911259504736,0.020130462802583206,1.062260232213949,0.05,HBMPRA (PyMC)
Children,skeletal_dental,2.155232165315051,0.22547316616832835,7.1492763420612055,0.6875,HBMPRA (PyMC)
Children,hemato,0.5561180436570934,0.06707398160342183,1.7525486610669028,0.1625,HBMPRA (PyMC)
Teens,skeletal_dental,1.1997708737910084,0.07382844673604301,4.141599678031458,0.4,HBMPRA (PyMC)
Teens,hemato,0.3163949894460589,0.02285831401017407,1.2410459860851264,0.075,HBMPRA (PyMC)
