Quality_Class,Sample_Count,Mean_NPLS_GWQI,Mean_Indeterminacy
Excellent,25,29.69657820509997,0.11676077419504667
Good,1,51.072138676102384,0.1908748145521313
Poor,1,148.10941405935563,0.08341072120134009
Very Poor,3,274.47800884488134,0.08915716144789489
Unsuitable,4,476.5323002314126,0.03428680488029862
