Endpoint,Endpoint_Label,Predictor_Block_Label,Predictor,Predictor_Label,Driver_Score_Percent,Prob_Direction_Percent,Beta_Mean,Beta_HDI_Lower,Beta_HDI_Upper,Model_R2
NPLS_GWQI,NPLS-GWQI,Augmented Field+Compositional,Aug_EC,Aug_EC,29.42072901838783,96.73333333333333,0.558700385250882,-0.005584378994974479,1.1817731937246607,0.9778401886599754
NPLS_GWQI,NPLS-GWQI,Augmented Field+Compositional,Aug_Na,Aug_Na,10.684224356196856,85.63333333333333,-0.2028936896901251,-0.6264860871617255,0.09444567510780591,0.9778401886599754
NPLS_GWQI,NPLS-GWQI,Augmented Field+Compositional,Aug_TDS,Aug_TDS,10.477261162422167,83.3,0.1989634534263533,-0.1075049024235871,0.6804381266381104,0.9778401886599754
NPLS_GWQI,NPLS-GWQI,Augmented Field+Compositional,Aug_K,Aug_K,10.380392603525683,94.69999999999999,0.19712391705251503,-0.025159715060381758,0.4776076101141105,0.9778401886599754
NPLS_GWQI,NPLS-GWQI,Augmented Field+Compositional,Aug_Silicate_Proxy,Aug_Silicate_Proxy,8.475071237179638,97.16666666666667,0.1609418163051487,-0.0024271034448045065,0.3271938261996817,0.9778401886599754
NPLS_GWQI,NPLS-GWQI,Augmented Field+Compositional,Aug_Na_Cl,Aug_Na_Cl,6.267286849506476,92.46666666666667,-0.11901593516287817,-0.3245146881816423,0.02641934065381785,0.9778401886599754
NPLS_GWQI,NPLS-GWQI,Augmented Field+Compositional,Aug_CAI_1,Aug_CAI_1,6.225357490541878,93.16666666666666,-0.11821969557982086,-0.31253982410925935,0.018126203495165614,0.9778401886599754
NPLS_GWQI,NPLS-GWQI,Augmented Field+Compositional,Aug_F,Aug_F,4.280663867536073,92.76666666666667,0.08128991468658676,-0.013426722371850578,0.20286555998953384,0.9778401886599754
NPLS_GWQI,NPLS-GWQI,Augmented Field+Compositional,Aug_CAI_2,Aug_CAI_2,2.812402090021311,63.03333333333333,0.05340758654189848,-0.24334589994151778,0.4108538404580483,0.9778401886599754
NPLS_GWQI,NPLS-GWQI,Augmented Field+Compositional,Aug_Cl,Aug_Cl,2.2847659065114323,59.53333333333334,-0.043387762124392326,-0.41167347441615504,0.23566080311799106,0.9778401886599754
NPLS_GWQI,NPLS-GWQI,Augmented Field+Compositional,Aug_pH,Aug_pH,2.160985982423398,82.73333333333333,0.04103717824759282,-0.038179376120580095,0.14001781177741984,0.9778401886599754
NPLS_GWQI,NPLS-GWQI,Augmented Field+Compositional,Aug_SO4,Aug_SO4,1.284046701071531,75.96666666666667,0.024384079202130517,-0.04270815801976411,0.09711360033758212,0.9778401886599754
NPLS_GWQI,NPLS-GWQI,Augmented Field+Compositional,Aug_Ca_HCO3,Aug_Ca_HCO3,1.2623944443663153,59.46666666666667,0.023972902301816645,-0.19510649957554932,0.27182862146342596,0.9778401886599754
NPLS_GWQI,NPLS-GWQI,Augmented Field+Compositional,Aug_NO3,Aug_NO3,1.0725491386142205,72.56666666666666,0.020367735162842095,-0.04116152465943164,0.09894209039080866,0.9778401886599754
NPLS_GWQI,NPLS-GWQI,Augmented Field+Compositional,Aug_HCO3,Aug_HCO3,1.0329052604243154,63.33333333333333,-0.019614896917273944,-0.14735628727772257,0.10545093193357269,0.9778401886599754
NPLS_GWQI,NPLS-GWQI,Augmented Field+Compositional,Aug_Mg_Ca,Aug_Mg_Ca,0.9151035429772995,59.766666666666666,-0.01737783933519538,-0.19718452679918777,0.13421228357651455,0.9778401886599754
NPLS_GWQI,NPLS-GWQI,Augmented Field+Compositional,Aug_Mg,Aug_Mg,0.6854061034324932,56.49999999999999,-0.013015879171508836,-0.1815617856947694,0.15575861391540927,0.9778401886599754
NPLS_GWQI,NPLS-GWQI,Augmented Field+Compositional,Aug_Ca,Aug_Ca,0.20706301775425393,52.43333333333333,0.003932131923658605,-0.2421739500738178,0.24591173098070485,0.9778401886599754
NPLS_GWQI,NPLS-GWQI,Augmented Field+Compositional,Aug_Carbonate_Proxy,Aug_Carbonate_Proxy,0.07139122710684201,50.03333333333333,0.001355721201306639,-0.31899098925558816,0.3029945490035598,0.9778401886599754
F,F,Augmented Field+Compositional,Aug_CAI_1,Aug_CAI_1,13.860303955507783,71.3,-0.12465121098195005,-0.9140873702490221,0.09779503530178743,0.25982401983927383
F,F,Augmented Field+Compositional,Aug_TDS,Aug_TDS,10.837355383669435,70.5,0.09746463546200491,-0.11438016422991287,0.6342686991474363,0.25982401983927383
F,F,Augmented Field+Compositional,Aug_Na_Cl,Aug_Na_Cl,9.984386630020559,79.0,-0.08979354914143066,-0.38060137783351583,0.05216989912485051,0.25982401983927383
F,F,Augmented Field+Compositional,Aug_Carbonate_Proxy,Aug_Carbonate_Proxy,9.393379172235452,63.16666666666667,-0.08447838465811479,-0.7012259182630515,0.12466800163885806,0.25982401983927383
F,F,Augmented Field+Compositional,Aug_K,Aug_K,8.957809132127025,74.63333333333333,0.08056113052420409,-0.09899564824417126,0.40072244096190257,0.25982401983927383
F,F,Augmented Field+Compositional,Aug_Silicate_Proxy,Aug_Silicate_Proxy,7.0664310637715975,72.93333333333332,0.06355121736486685,-0.08843682004607066,0.3542683138657202,0.25982401983927383
F,F,Augmented Field+Compositional,Aug_EC,Aug_EC,6.606341759258148,63.733333333333334,0.05941345176091308,-0.1645753493511257,0.5514283253419598,0.25982401983927383
F,F,Augmented Field+Compositional,Aug_CAI_2,Aug_CAI_2,6.051377276934128,58.8,-0.05442243605189822,-0.5558855963782093,0.158178152571008,0.25982401983927383
F,F,Augmented Field+Compositional,Aug_NO3,Aug_NO3,5.228145106899105,72.89999999999999,0.047018782622394145,-0.061021049878565346,0.23258019950387007,0.25982401983927383
F,F,Augmented Field+Compositional,Aug_Cl,Aug_Cl,4.7506144010555325,59.8,0.04272415957837259,-0.1490966202801353,0.4048090397896359,0.25982401983927383
F,F,Augmented Field+Compositional,Aug_SO4,Aug_SO4,3.263795454452858,66.4,-0.029352607064094358,-0.19191473503115516,0.09245100627409003,0.25982401983927383
F,F,Augmented Field+Compositional,Aug_HCO3,Aug_HCO3,2.947624252585894,62.46666666666667,0.026509154040492044,-0.22299766420526337,0.2644097237399423,0.25982401983927383
F,F,Augmented Field+Compositional,Aug_pH,Aug_pH,2.723988073330202,62.43333333333333,0.02449790517805127,-0.10753216702099284,0.19981523071267443,0.25982401983927383
F,F,Augmented Field+Compositional,Aug_Mg,Aug_Mg,2.6232653814247273,60.199999999999996,0.02359206605939398,-0.1324021346411733,0.23200989113115378,0.25982401983927383
F,F,Augmented Field+Compositional,Aug_Ca,Aug_Ca,2.480220153034662,59.46666666666667,0.022305603583444765,-0.19736099117492853,0.28352667363698447,0.25982401983927383
F,F,Augmented Field+Compositional,Aug_Ca_HCO3,Aug_Ca_HCO3,2.0556095635304543,55.833333333333336,0.018486912135741947,-0.20050958376780795,0.30887657444035876,0.25982401983927383
F,F,Augmented Field+Compositional,Aug_Na,Aug_Na,1.144920046153725,53.86666666666666,-0.010296720092769671,-0.2739080603181006,0.230337109332837,0.25982401983927383
F,F,Augmented Field+Compositional,Aug_Mg_Ca,Aug_Mg_Ca,0.02443319400871616,50.6,0.00021973740483037025,-0.18339449211192882,0.18451334854915089,0.25982401983927383
