Component,Observed_Eigenvalue,Random_95th_Eigenvalue,Retained
PC1,10.046561829946352,2.388976509487023,True
PC2,6.812911330558043,1.8640568517135279,True
PC3,5.1126963793031655,1.4960751487448705,True
PC4,2.4319066745811537,1.2371907936932287,True
PC5,1.3095022990689988,1.0110209229342642,True
PC6,0.4767434037254229,0.8110754011160434,False
PC7,0.33328075742350277,0.6175236529125148,False
PC8,0.15607214950545184,0.4755259566436296,False
