SampleID,WQI_Conventional,WQI_Fuzzy,NPLS_GWQI,Class_Conventional,Class_Fuzzy,Class_NPLS
KAY1,29.73605555555556,30.46320971896086,21.53596880392319,Excellent,Excellent,Excellent
NYI4,35.85477777777778,33.39310865556603,48.8693433327944,Excellent,Excellent,Excellent
SUS3,29.375111111111107,30.326308868897712,20.64140436731803,Excellent,Excellent,Excellent
GBG8,38.287,35.3184167409744,47.51160457896672,Excellent,Excellent,Excellent
TOT1,105.13749999999997,50.83536385819395,231.0679094360062,Poor,Good,Very Poor
NAN1,40.8575,36.496014471108886,51.072138676102384,Excellent,Excellent,Good
NAN4,34.339944444444455,33.41854581190513,34.47400172030156,Excellent,Excellent,Excellent
MAM7,33.38533333333333,33.12339223962151,32.14585865735093,Excellent,Excellent,Excellent
BIB4,34.36194444444445,33.095376034633595,36.957701077318106,Excellent,Excellent,Excellent
MAM7,322.748,52.85320755555605,842.7987578292281,Unsuitable,Good,Unsuitable
ZAZ165,140.49894444444442,34.20342827872322,294.6464418073109,Poor,Excellent,Very Poor
TAT170,153.32808333333335,36.988445577383935,327.9897685046722,Poor,Excellent,Unsuitable
BAF195,178.59072777777774,40.51657835209371,380.2726619266304,Poor,Excellent,Unsuitable
NYG170,165.3213888888889,37.03416987840965,355.0680126651198,Poor,Excellent,Unsuitable
LAL85,79.92577777777775,30.950236598410342,148.10941405935563,Good,Excellent,Poor
TUT4,30.923388888888887,30.46725499257311,38.64378090835018,Excellent,Excellent,Excellent
NYC5,25.79588888888889,28.08444410503097,23.008972336644355,Excellent,Excellent,Excellent
SUJ7,25.028388888888887,27.436173240743877,19.794667747588385,Excellent,Excellent,Excellent
ISJ2,39.52972222222221,37.9845428461782,46.96435015012367,Excellent,Excellent,Excellent
DAN4,20.713888888888885,23.814776896254152,9.467483114786209,Excellent,Excellent,Excellent
KPK6,17.565013888888885,13.604358238134528,12.884610360286608,Excellent,Excellent,Excellent
BIB9,20.800763888888888,13.740137272555685,16.340320681067006,Excellent,Excellent,Excellent
KAP2,21.389444444444443,24.129071809275025,11.881964312516208,Excellent,Excellent,Excellent
GBG2,26.96988888888889,27.481770225851832,20.20730903432943,Excellent,Excellent,Excellent
NAN6,40.42261111111112,38.42816672029409,46.70922356144521,Excellent,Excellent,Excellent
GAG7,38.31583333333333,40.649884049961216,40.3553603874411,Excellent,Excellent,Excellent
TUT9,36.16944444444444,36.316259764467915,37.08877359599809,Excellent,Excellent,Excellent
NYG8,30.394166666666663,31.31813564459327,32.536688958000816,Excellent,Excellent,Excellent
NYG9,27.00444444444445,27.829804817876656,28.688371380803915,Excellent,Excellent,Excellent
ZOZ1,31.82583333333334,32.50430045498032,29.79798951615357,Excellent,Excellent,Excellent
NYY1,127.47472222222225,58.25992107254267,297.719675291327,Poor,Good,Very Poor
KUK9,29.373922222222223,31.596534269685648,22.19015374840164,Excellent,Excellent,Excellent
NYN97,30.47058333333333,31.536546636578265,27.630719266571337,Excellent,Excellent,Excellent
SUG03,35.97669444444445,34.93737207879851,36.08783352901864,Excellent,Excellent,Excellent
