SampleID,Temp_C,SI_Calcite,SI_Dolomite,SI_Fluorite
BAF195,20.0,-0.9745840242525752,-1.3409015290843165,-1.7272499786764648
BAF195,25.0,-0.9076369823021864,-1.1396462860265153,-1.7939528949600057
BAF195,30.0,-0.8432739198703629,-0.9543413861581982,-1.8558896606178372
BIB4,20.0,-0.6691214103181196,-1.2871621452075388,-2.4755127528278713
BIB4,25.0,-0.6022870239390734,-1.0861117182000086,-2.5420190775837845
BIB4,30.0,-0.538143404872498,-0.9011489009349027,-2.6038123427156865
BIB9,20.0,-7.077489751443768,-13.87308261175588,-7.885829602741044
BIB9,25.0,-7.0050002737286245,-13.66360660513848,-7.947059457681039
BIB9,30.0,-6.934870530343542,-13.469603747796612,-8.003289868881517
DAN4,20.0,-2.1491347184082485,-3.713818237996364,-3.57339022020094
DAN4,25.0,-2.079103277018085,-3.508450064436566,-3.6367905398188114
DAN4,30.0,-2.011542981585734,-3.318815822504476,-3.6952791875485804
GAG7,20.0,0.1148398154230641,0.701216796897306,-1.1188791501246644
GAG7,25.0,0.18314759908340683,0.9037980756443211,-1.1886327465882545
GAG7,30.0,0.24893537995069615,1.0905185021318893,-1.2536461075754524
GBG2,20.0,-0.9741192930397524,-1.4812998272422107,-4.766970386390501
GBG2,25.0,-0.908489901618946,-1.2827123294129663,-4.833950453381693
GBG2,30.0,-0.8459201872582867,-1.1006557255191787,-4.896555407751034
GBG8,20.0,-0.7100460281584411,-1.2768922520580794,-2.5639505970075067
GBG8,25.0,-0.6442107480321937,-1.077797795614341,-2.6313452910524298
GBG8,30.0,-0.581164075090264,-0.8949729757751257,-2.6941078510659597
ISJ2,20.0,-1.278367592558812,-2.120673654294979,-2.3858539590412704
ISJ2,25.0,-1.2094967651892432,-1.9175430522224914,-2.4510172204410168
ISJ2,30.0,-1.1429402139296059,-1.7300955968766942,-2.511131873116229
KAP2,20.0,-1.1907170397946487,-2.449572280396552,-2.7514770121607945
KAP2,25.0,-1.1197135402918903,-2.2424674094096133,-2.815029357343951
KAP2,30.0,-1.0510496404399987,-2.050865357639747,-2.8736074961925233
KAY1,20.0,-0.9761498666584956,-1.856099991522811,-2.270830778241942
KAY1,25.0,-0.9072098298215003,-1.6518417046488416,-2.335338828551796
KAY1,30.0,-0.8408131226046898,-1.4634037506003708,-2.395005620673775
KPK6,20.0,-6.585715702270914,-10.588202736498726,-7.292399185122388
KPK6,25.0,-6.513358931598816,-10.378709754796855,-7.353766609129419
KPK6,30.0,-6.44334907661381,-10.184665009324942,-7.410119619400483
KUK9,20.0,-1.3366496414734321,-2.1804887849618773,-2.1492185496959095
KUK9,25.0,-1.266606112810729,-1.9743031637939197,-2.2136292887128572
KUK9,30.0,-1.1988507064384972,-1.7836139289226232,-2.2729942763947477
LAL85,20.0,-1.7408243296995956,-2.1365482258531436,-3.00865769252729
LAL85,25.0,-1.6712474041166132,-1.9312803266507892,-3.0731350682098793
LAL85,30.0,-1.6041279680914933,-1.7417042819003186,-3.1327262766735107
MAM7,20.0,-0.48224197815498826,-0.9760693984479119,-2.5272983479106976
MAM7,20.0,-0.6892396964427636,-3.136486145550993,-0.778833712226696
MAM7,25.0,-0.4158835998371142,-0.7759370247995712,-2.5940168250635924
MAM7,25.0,-0.6209635790140524,-2.9348671084439673,-0.8443402930997337
