endpoint,chains,draws_per_chain,rhat_max,ess_bulk_min,ess_tail_min,divergences,max_tree_depth,reached_max_treedepth,loo_elpd,loo_p,pareto_k_max,pareto_k_gt_0_7,pareto_k_gt_1_0,waic_elpd,waic_p
NPLS_GWQI,2,1000,1.03,190.0,174.0,124,10,0,-3.480866426671211,15.74855134613401,1.1961142049582172,9,1,-0.28076120882073036,12.548446128283528
F,2,1000,1.01,156.0,234.0,180,10,3,-48.96103872515231,18.89704724063064,1.4776047524730098,5,3,-45.586822168285266,15.5228306837636
