Demographic_Group,Organ_System,Mean_HI__All samples (n=34),Mean_HI__CBE abs<=10% (n=26),P_HI_greater_1__All samples (n=34),P_HI_greater_1__CBE abs<=10% (n=26),Delta__Mean_HI,Delta__P_HI_greater_1
Adults,hemato,0.4094181410081253,0.43746752439051345,0.07925,0.09385,0.02804938338238816,0.014600000000000002
Adults,skeletal_dental,1.414408467032199,1.2822427709531852,0.5129,0.47075,-0.13216569607901385,-0.04215000000000002
Children,hemato,0.6527030194390574,0.6974199435188286,0.20065,0.2215,0.044716924079771236,0.020850000000000007
Children,skeletal_dental,2.263289692992449,2.0518242285385426,0.68515,0.6517,-0.21146546445390646,-0.03345000000000009
Teens,hemato,0.3241319857256446,0.34635898061292275,0.0452,0.05515,0.02222699488727814,0.00995
Teens,skeletal_dental,1.1224777270880761,1.0176074923692129,0.41325,0.369,-0.10487023471886325,-0.04425000000000001
