SampleID,SampleKey,NPLS_GWQI,Quality_Class,Truth_Mean,Indeterminacy_Mean,Falsity_Mean
KAY1,KAY1_01,21.53596880392319,Excellent,0.6763533125128308,0.1450829071429087,0.033904373240878284
NYI4,NYI4_02,48.869343332794394,Excellent,0.6509266873923808,0.08621298528234062,0.14973302763307778
SUS3,SUS3_03,20.64140436731803,Excellent,0.678479880561769,0.13343906318185747,0.034982476534505515
GBG8,GBG8_04,47.51160457896672,Excellent,0.6318253344511384,0.14545095780181058,0.1407621722940243
TOT1,TOT1_05,231.0679094360062,Very Poor,0.48483368090784035,0.12351687767806689,0.3907547693691824
NAN1,NAN1_06,51.072138676102384,Good,0.6195442499534216,0.1908748145521313,0.16320585688054598
NAN4,NAN4_07,34.47400172030156,Excellent,0.6484318305855267,0.14188619222344245,0.1048683014257108
MAM7,MAM7_08,32.14585865735093,Excellent,0.6501718642668183,0.12770004922668005,0.09312495101626168
BIB4,BIB4_09,36.957701077318106,Excellent,0.6521126691042264,0.10849774726858093,0.10050425723193311
MAM7,MAM7_10,842.7987578292281,Unsuitable,0.43637871331353223,0.0818218225381453,0.44534089598412807
ZAZ165,ZAZ165_11,294.6464418073109,Very Poor,0.6398677117178644,0.029913612012976088,0.17049876613226567
TAT170,TAT170_12,327.9897685046722,Unsuitable,0.6124066052727085,0.01003857611114282,0.2509024866012172
BAF195,BAF195_13,380.27266192663035,Unsuitable,0.5782641834409329,0.020585156490345907,0.2526344511615714
NYG170,NYG170_14,355.0680126651198,Unsuitable,0.613376253792667,0.024701664381560476,0.25304804030093353
LAL85,LAL85_15,148.10941405935563,Poor,0.6676563267543281,0.08341072120134009,0.09765189756500046
TUT4,TUT4_16,38.64378090835018,Excellent,0.6727255634657391,0.05804705520467923,0.0886698578147791
NYC5,NYC5_17,23.008972336644355,Excellent,0.6947696002040268,0.0845094230935553,0.062485144263592945
SUJ7,SUJ7_18,19.794667747588385,Excellent,0.6995132847128089,0.09882277122570708,0.04511273652726519
ISJ2,ISJ2_19,46.96435015012367,Excellent,0.5999620235059487,0.1989600119113399,0.11487073021978134
DAN4,DAN4_20,9.467483114786209,Excellent,0.746741695833094,0.017904981777127998,0.0026960797795512925
KPK6,KPK6_21,12.884610360286608,Excellent,0.8580247401345068,0.0009441409556627537,0.08320274760205722
BIB9,BIB9_22,16.340320681067006,Excellent,0.8595611847738248,2.150814997712372e-05,0.08340448297646817
KAP2,KAP2_23,11.881964312516208,Excellent,0.7229835583097158,0.07117091466047175,0.019809617516064765
GBG2,GBG2_24,20.20730903432943,Excellent,0.7077580877902889,0.16315210532792632,0.057322075680518884
NAN6,NAN6_25,46.70922356144521,Excellent,0.580680889402588,0.18011418758470468,0.1220703464111888
GAG7,GAG7_26,40.3553603874411,Excellent,0.5254686056504191,0.24985391772523055,0.09243020749210999
TUT9,TUT9_27,37.08877359599809,Excellent,0.6161411109174241,0.1292578836310741,0.0868253486747856
NYG8,NYG8_28,32.536688958000816,Excellent,0.670697705926092,0.08823450171362751,0.08443886598486826
NYG9,NYG9_29,28.688371380803915,Excellent,0.6664986307096638,0.08902186348147906,0.07333998956610441
ZOZ1,ZOZ1_30,29.79798951615357,Excellent,0.6474746201222257,0.16419138568060834,0.08470077722387526
NYY1,NYY1_31,297.719675291327,Very Poor,0.3851989536128952,0.11404099465264171,0.48457340211039795
KUK9,KUK9_32,22.190153748401638,Excellent,0.6570631364981661,0.11982945046118561,0.03962000984909597
NYN97,NYN97_33,27.630719266571337,Excellent,0.6660680955515891,0.13548744498885532,0.0536784177732871
SUG03,SUG03_34,36.08783352901864,Excellent,0.6352153797388368,0.1812259051753332,0.06796825140023384
