Group,HI_SkeletalDental_Mean,P(HI_SD>1),VarShare_SD_log_C_pct,VarShare_SD_log_IR_perkg_pct,HI_Hemato_Mean,P(HI_Hemato>1),VarShare_Hemato_log_C_pct,VarShare_Hemato_log_IR_perkg_pct
Adults,1.3154158672920406,0.4625,56.65974953476377,43.34025046523621,0.3639911259504736,0.05,61.98477597605181,38.0152240239482
Children,2.155232165315051,0.6875,69.9594340479356,30.04056595206441,0.5561180436570934,0.1625,74.38901056869996,25.61098943130004
Teens,1.1997708737910084,0.4,57.40704558880548,42.59295441119452,0.3163949894460589,0.075,62.700698470688806,37.299301529311194
