Demographic_Group,HQ_F_Mean,HQ_F_P95,HQ_NO3_Mean,HQ_NO3_P95,HI_Skeletal_Dental_Mean,HI_Hemato_Mean
Adults,0.9329248366013071,2.8621527777777764,0.2041750919117647,0.8309895833333322,0.9329248366013071,0.2041750919117647
Children,1.4926797385620916,4.579444444444443,0.3266801470588235,1.3295833333333316,1.4926797385620916,0.3266801470588235
Teens,0.7463398692810458,2.2897222222222213,0.16334007352941174,0.6647916666666658,0.7463398692810458,0.16334007352941174
